n,time
1,0.000003
2,0.000001
3,0.000002
4,0.000002
5,0.000002
6,0.000002
7,0.000002
8,0.000002
9,0.000003
10,0.000003
11,0.000002
12,0.000003
13,0.000003
14,0.000004
15,0.000003
16,0.000003
17,0.000003
18,0.000005
19,0.000004
20,0.000004
21,0.000005
22,0.000005
23,0.000005
24,0.000005
25,0.000004
26,0.000005
27,0.000005
28,0.000005
29,0.000006
30,0.000005
31,0.000005
32,0.000005
33,0.000005
34,0.000006
35,0.000007
36,0.000006
37,0.000006
38,0.000006
39,0.000007
40,0.000007
41,0.000007
42,0.000007
43,0.000009
44,0.000007
45,0.000008
46,0.000008
47,0.000008
48,0.000010
49,0.000008
50,0.000009
51,0.000009
52,0.000009
53,0.000010
54,0.000009
55,0.000009
56,0.000009
57,0.000011
58,0.000011
59,0.000010
60,0.000010
61,0.000010
62,0.000012
63,0.000011
64,0.000010
65,0.000010
66,0.000011
67,0.000012
68,0.000012
69,0.000012
70,0.000012
71,0.000013
72,0.000013
73,0.000013
74,0.000013
75,0.000013
76,0.000013
77,0.000013
78,0.000014
79,0.000014
80,0.000014
81,0.000015
82,0.000014
83,0.000014
84,0.000016
85,0.000015
86,0.000016
87,0.000016
88,0.000016
89,0.000016
90,0.000016
91,0.000016
92,0.000017
93,0.000017
94,0.000017
95,0.000017
96,0.000018
97,0.000018
98,0.000018
99,0.000019
100,0.000019
101,0.000019
102,0.000019
103,0.000019
104,0.000019
105,0.000020
106,0.000021
107,0.000020
108,0.000020
109,0.000022
110,0.000020
111,0.000022
112,0.000023
113,0.000022
114,0.000022
115,0.000022
116,0.000022
117,0.000022
118,0.000023
119,0.000023
120,0.000022
121,0.000023
122,0.000023
123,0.000024
124,0.000024
125,0.000023
126,0.000025
127,0.000024
128,0.000042
129,0.000038
130,0.000027
131,0.000027
132,0.000026
133,0.000027
134,0.000026
135,0.000027
136,0.000027
137,0.000027
138,0.000028
139,0.000029
140,0.000028
141,0.000029
142,0.000029
143,0.000030
144,0.000030
145,0.000031
146,0.000030
147,0.000030
148,0.000029
149,0.000030
150,0.000030
151,0.000032
152,0.000031
153,0.000031
154,0.000031
155,0.000032
156,0.000032
157,0.000032
158,0.000033
159,0.000034
160,0.000033
161,0.000033
162,0.000036
163,0.000036
164,0.000035
165,0.000051
166,0.000049
167,0.000037
168,0.000045
169,0.000047
170,0.000050
171,0.000045
172,0.000039
173,0.000039
174,0.000039
175,0.000038
176,0.000052
177,0.000039
178,0.000039
179,0.000039
180,0.000040
181,0.000041
182,0.000039
183,0.000042
184,0.000042
185,0.000042
186,0.000042
187,0.000041
188,0.000041
189,0.000042
190,0.000045
191,0.000043
192,0.000043
193,0.000042
194,0.000043
195,0.000045
196,0.000045
197,0.000044
198,0.000044
199,0.000045
200,0.000045
201,0.000045
202,0.000045
203,0.000046
204,0.000045
205,0.000046
206,0.000045
207,0.000045
208,0.000047
209,0.000046
210,0.000048
211,0.000048
212,0.000048
213,0.000047
214,0.000047
215,0.000048
216,0.000048
217,0.000050
